zip,city,state
3543,Krumau am Kamp,Lower Austria
3544,Idolsberg,Lower Austria
3550,Langenlois,Lower Austria
3552,Lengenfeld,Lower Austria
3553,Schiltern,Lower Austria
3561,Zöbing,Lower Austria
3562,Schönberg,Lower Austria
3564,Plank am Kamp,Lower Austria
3571,Gars am Kamp",Lower Austria
3572,St. Leonhard am Hornerwald,Lower Austria
3573,Rosenburg,Lower Austria
3580,Horn,Lower Austria
3591,Altenburg,Lower Austria
3592,Röhrenbach,Lower Austria
3593,Neupölla,Lower Austria
3594,Franzen,Lower Austria
3595,Brunn an der Wild,Lower Austria
3601,Dürnstein,Lower Austria
3602,Rossatz,Lower Austria
3610,Weißenkirchen in der Wachau,Lower Austria
3611,Großheinrichschlag,Lower Austria
3613,Albrechtsberg an der Großen Krems,Lower Austria
3620,Spitz,Lower Austria
3621,Mitterarnsdorf,Lower Austria
3622,Mühldorf,Lower Austria
3623,Kottes,Lower Austria
3631,Ottenschlag,Lower Austria
3632,Bad Traunstein,Lower Austria
3633,Schönbach,Lower Austria
3641,Aggsbach Markt,Lower Austria
3642,Aggsbach Dorf,Lower Austria
3643,Maria Laach am Jauerling,Lower Austria
3644,Emmersdorf on the Danube,Lower Austria
3650,Pöggstall,Lower Austria
3652,Leiben,Lower Austria
3653,Weiten,Lower Austria
3654,Raxendorf,Lower Austria
3660,Klein-Pöchlarn,Lower Austria
3661,Artstetten,Lower Austria
3662,Münichreith,Lower Austria
3663,Laimbach am Ostrong,Lower Austria
3664,Martinsberg,Lower Austria
3665,Gutenbrunn,Lower Austria
3671,Marbach an der Donau,Lower Austria
3672,Maria Taferl,Lower Austria
3680,Persenbeug,Lower Austria
3681,Hofamt Priel,Lower Austria
3683,Yspertal,Lower Austria
3684,St. Oswald,Lower Austria
3691,Nöchling,Lower Austria
3701,Großweikersdorf,Lower Austria
3702,Niederrußbach,Lower Austria
3704,Glaubendorf,Lower Austria
3710,Ziersdorf,Lower Austria
3711,Großmeiseldorf,Lower Austria
3712,Maissau,Lower Austria
3713,Harmannsdorf,Lower Austria
3714,Sitzendorf an der Schmida,Lower Austria
3720,Ravelsbach,Lower Austria
3721,Limberg,Lower Austria
3722,Straning,Lower Austria
3730,Eggenburg,Lower Austria
3741,Pulkau,Lower Austria
3742,Theras,Lower Austria
3743,Röschitz,Lower Austria
3744,Stockern,Lower Austria
3751,Sigmundsherberg,Lower Austria
3752,Walkenstein,Lower Austria
3753,Hötzelsdorf,Lower Austria
3754,Irnfritz,Lower Austria
3761,Messern,Lower Austria
3762,Ludweis,Lower Austria
3763,Japons,Lower Austria
3800,Göpfritz an der Wild,Lower Austria
3804,Allentsteig,Lower Austria
3811,Kirchberg an der Wild,Lower Austria
3812,Groß Siegharts,Lower Austria
3813,Dietmanns,Lower Austria
3814,Aigen,Lower Austria
3820,Raabs an der Thaya,Lower Austria
3822,Karlstein an der Thaya,Lower Austria
3823,Weikertschlag an der Thaya,Lower Austria
3824,Großau,Lower Austria
3830,Waidhofen an der Thaya,Lower Austria
3834,Pfaffenschlag bei Waidhofen an der Thaya,Lower Austria
3834,Pfaffenschlag near Waidhofen an der Thaya,Lower Austria
3841,Windigsteig,Lower Austria
3842,Thaya,Lower Austria
3843,Dobersberg,Lower Austria
3844,Waldkirchen an der Thaya,Lower Austria
3851,Kautzen,Lower Austria
3852,Gastern,Lower Austria
3860,Heidenreichstein,Lower Austria
3861,Eggern,Lower Austria
3862,Eisgarn,Lower Austria
3863,Reingers,Lower Austria
3871,Nagelberg,Lower Austria
3872,Langegg,Lower Austria
3873,Brand,Lower Austria
3874,Litschau,Lower Austria
3900,Schwarzenau,Lower Austria
3902,Vitis,Lower Austria
3903,Echsenbach,Lower Austria
3910,Zwettl,Lower Austria
3911,Rappottenstein,Lower Austria
3912,Grafenschlag,Lower Austria
3913,Großgöttfritz,Lower Austria
3914,Waldhausen,Lower Austria
3920,Groß Gerungs,Lower Austria
3921,Langschlag,Lower Austria
3922,Großschönau,Lower Austria
3923,Jagenbach,Lower Austria
3924,Rosenau castle,Lower Austria
3925,Arbesbach,Lower Austria
3931,Schweiggers,Lower Austria
3932, "Kirchberg am Walde",Lower Austria
3942,Hirschbach,Lower Austria
3943,Schrems,Lower Austria
3944,Pürbach,Lower Austria
3945,Hoheneich,Lower Austria
3950,Gmünd,Lower Austria
3961,Waldenstein,Lower Austria
3962,Heinrichs near Weitra,Lower Austria
3970,Weitra,Lower Austria
3971,St. Martin,Lower Austria
3972,Bad Großpertholz,Lower Austria
3973,Karlstift,Lower Austria
4020,Linz,Upper Austria
4030,Linz,Upper Austria
4040,Linz,Upper Austria
4048,Puchenau,Upper Austria
4050,Traun,Upper Austria
4052,Ansfelden,Upper Austria
4053,Haid,Upper Austria
4055,Pucking,Upper Austria
4060,Leonding,Upper Austria
4061,Pasching,Upper Austria
4062,Thening,Upper Austria
4063,Hörsching,Upper Austria
4064,Oftering,Upper Austria
4070,Eferding,Upper Austria
4072,Alkoven,Upper Austria
4073,Wilhering,Upper Austria
4074,Stroheim,Upper Austria
4075,Breitenaich,Upper Austria
4076,St. Marienkirchen an der Polsenz,Upper Austria
4081,Hartkirchen,Upper Austria
4082,Aschach an der Donau,Upper Austria
4083,Haibach ob der Donau,Upper Austria
4084,St. Agatha,Upper Austria
4085,Wesenufer,Upper Austria
4090,Engelhartszell,Upper Austria
4091,Vichtenstein,Upper Austria
4092,Esternberg,Upper Austria
4100,Ottensheim,Upper Austria
4101,Feldkirchen on the Danube,Upper Austria
4102,Goldwörth,Upper Austria
4111,Walding,Upper Austria
4112,Rottenegg,Upper Austria
4113,St. Martin im Mühlkreis,Upper Austria
4113,St. Martin im Mühlkreis,Upper Austria
4114,Neuhaus an der Donau,Upper Austria
4115,Kleinzell im Mühlkreis,Upper Austria
4116,St. Ulrich im Mühlkreis,Upper Austria
4120,Neufelden,Upper Austria
4121,Altenfelden,Upper Austria
4122,Arnreit,Upper Austria
4131,Kirchberg ob der Donau,Upper Austria
4132,Lembach im Mühlkreis,Upper Austria
4133,Niederkappel,Upper Austria
4134,Putzleinsdorf,Upper Austria
4141,Pfarrkirchen im Mühlkreis,Upper Austria
4142,Hofkirchen im Mühlkreis,Upper Austria
4143,Neustift im Mühlkreis,Upper Austria
4144,Oberkappel,Upper Austria
4150,Rohrbach in Upper Austria",Upper Austria
4151,Oepping,Upper Austria
4152,Sarleinsbach,Upper Austria
4153, "Peilstein in the Mühlviertel,Upper Austria
4154,Kollerschlag,Upper Austria
4155,Nebelberg,Upper Austria
4160,Aigen-Schlägl,Upper Austria
4161,Ulrichsberg,Upper Austria
4162,Julbach,Upper Austria
4163,Klaffer am Hochficht,Upper Austria
4164,Schwarzenberg am Böhmerwald,Upper Austria
4170,Haslach an der Mühl,Upper Austria
4171,St. Peter am Wimberg",Upper Austria
4172,St. Johann am Wimberg",Upper Austria
4173,St. Veit im Mühlkreis",Upper Austria
4174,Niederwaldkirchen,Upper Austria
4175,Herzogsdorf,Upper Austria
4180,Zwettl an der Rodl,Upper Austria
4181,Oberneukirchen,Upper Austria
4182,Waxenberg,Upper Austria
4183,Traberg,Upper Austria
4184,Helfenberg,Upper Austria
4190,Bad Leonfelden,Upper Austria
4191,Vorderweißenbach,Upper Austria
4192,Schenkenfelden,Upper Austria
4193,Reichenthal,Upper Austria
4201,Gramastetten,Upper Austria
4202,Hellmonsödt,Upper Austria
4203,Altenberg near Linz,Upper Austria
4204,Reichenau im Mühlkreis,Upper Austria
4209,Engerwitzdorf,Upper Austria
4210,Gallneukirchen,Upper Austria
4211,Alberndorf in der Riedmark,Upper Austria
4212,Neumarkt im Mühlkreis,Upper Austria
4213,Unterweitersdorf,Upper Austria
4221,Steyregg,Upper Austria
4222,St. Georgen an der Gusen,Upper Austria
4223,Katsdorf,Upper Austria
4224,Wartberg ob der Aist,Upper Austria
4224,Wartberg ob der Aist,Upper Austria
4225,Luftenberg,Upper Austria
4230,Pregarten,Upper Austria
4232,Hagenberg im Mühlkreis,Upper Austria
4240,Freistadt,Upper Austria
4240,Freistadt,Upper Austria
4242,Hirschbach im Mühlkreis,Upper Austria
4251,Sandl,Upper Austria
4252,Liebenau,Upper Austria
4261,Rainbach im Mühlkreis,Upper Austria
4262,Leopoldschlag,Upper Austria
4263, "Windhaag bei Freistadt",Upper Austria
4264,Grünbach,Upper Austria
4271, "St. Oswald bei Freistadt",Upper Austria
4272,Weitersfelden,Upper Austria
4273,Unterweißenbach,Upper Austria
4274,Schönau im Mühlkreis,Upper Austria
4280,Königswiesen,Upper Austria
4281,Mönchdorf,Upper Austria
4282,Pierbach,Upper Austria
4283,Bad Zell,Upper Austria
4284,Tragwein,Upper Austria
4284,Tragwein,Upper Austria
4291,Lasberg,Upper Austria
4292,Kefermarkt,Upper Austria
4293,Gutau,Upper Austria
4294,St. Leonhard bei Freistadt,Upper Austria
4300,St. Valentin,Lower Austria
